AreaCode,Neighbourhood code,Total avg. salary (thousand EUR per year),<25yrs old,25-44yrs old,45-64yrs old,65+ yrs old
Totaal,Totaal,"35,4","11,7","41,7","45,6","26,1"
01,Totaal,"40,0","15,9","42,2","55,8","31,3"
01,01,"41,5","17,0","42,5","59,4","34,2"
01,02,"41,6","14,3","43,0","59,5","34,1"
01,03,"32,3","14,7","40,0","34,8","21,5"
01,04,"31,2",.,"39,5","39,7","21,9"
01,05,"38,4","16,4","41,1","53,1","27,6"
01,06,"62,8",.,.,"89,6",.
02,Totaal,"33,1","12,2","39,4","40,7","27,0"
02,01,.,.,.,.,.
02,02,"40,3","11,8","47,9","56,0","33,0"
02,03,"28,8","12,3","33,6","33,3","22,7"
02,04,.,.,.,.,.
02,05,"22,6","11,8","25,9","27,1","16,9"
02,06,.,.,.,.,.
02,07,"49,3",.,"56,8",.,.
02,08,.,.,.,.,.
02,09,"29,7",.,"35,7",.,.
02,10,"21,2",.,.,"23,3","19,0"
02,11,"31,1","12,4","39,2","36,2","22,0"
02,12,.,.,.,.,.
03,Totaal,"31,2","12,2","37,1","38,9","22,9"
03,01,"29,6","14,3","36,2","31,3","21,5"
03,02,"27,7","13,8","33,6","29,4","19,6"
03,03,"25,9","13,0","32,8","29,8","18,9"
03,04,"35,2","10,7","39,7","47,4","23,7"
03,05,"31,3","13,1","37,0","39,1","24,7"
03,06,"37,0","8,6","48,3","50,2","24,9"
04,Totaal,"36,3","11,3","45,7","43,6","25,2"
04,01,"32,9","12,0","42,0","38,4","20,9"
04,02,"39,6","10,6","49,4","48,4","28,8"
04,03,"37,0",.,"46,9",.,.
05,Totaal,"41,8","8,1","48,0","57,1","33,8"
05,01,.,.,.,.,.
05,02,"46,0","8,6","50,9","63,3","37,2"
05,03,.,.,.,.,.
05,04,"32,1",.,.,.,.
05,05,"36,4","8,6","41,0","46,0","30,2"
05,06,"46,0","7,3","55,0","68,3","35,7"
05,07,"42,2",.,.,.,.
06,Totaal,"35,4","11,1","42,3","46,3","25,6"
06,01,"33,7","10,9","44,1","43,0","24,8"
06,02,"32,0","12,9","42,3","40,4","24,9"
06,03,"34,8","10,8","41,3","46,2","24,9"
06,04,"38,5",.,.,"50,1",.
06,05,.,.,.,.,.
06,06,"36,0","9,3","40,8","46,3","26,6"
06,07,"38,7","11,6","42,6","50,2","28,4"
06,08,.,.,.,.,.
06,09,.,.,.,.,.
07,Totaal,"46,9","8,4","51,8","57,8","26,3"
07,01,.,.,.,.,.
07,02,.,.,.,.,.
07,03,"35,2",.,.,.,.
07,04,"42,5","8,7","47,4","53,9","24,7"
07,05,"50,3","5,9","54,1","64,4",.
07,06,"52,7","8,2","56,7","62,2",.
07,07,"45,1",.,"47,5",.,.
07,98,.,.,.,.,.
07,99,.,.,.,.,.
08,Totaal,"41,9","8,2","47,9","57,7","24,8"
08,01,"33,2","10,4","44,1","46,0","22,7"
08,02,"44,9","7,8","51,0","61,8","27,1"
08,03,"43,7","7,3","46,6","58,5","27,3"
08,04,.,.,.,.,.
09,Totaal,"29,3","11,3","36,1","35,4","23,4"
09,01,"32,5","11,4","41,7","41,8","27,6"
09,02,"58,5",.,"83,9","72,3","37,7"
09,03,.,.,.,.,.
09,04,"23,2","10,8","27,8","28,5","19,3"
09,05,"23,7","11,0","30,1","25,6","20,1"
09,06,"27,5","10,5","31,7","32,3","21,6"
09,07,"28,6","11,7","36,5","31,4","20,8"
09,08,"34,3","10,2","41,9","45,4","27,4"
09,09,"24,0","11,5","31,6","30,0","18,1"
09,10,"21,5","10,7","25,8","24,4","17,4"
09,11,"24,3","10,7","27,2","29,2","21,7"
09,12,"25,9","12,5","31,3","30,5",.
09,13,"32,9","10,7","42,1","40,5","23,3"
09,14,"29,1",.,"34,5","28,9",.
09,15,.,.,.,.,.
10,Totaal,"36,2","10,6","40,9","46,8","26,6"
10,01,"42,6",.,.,"59,3","31,7"
10,02,"30,1","11,2","35,5","37,1","23,4"
10,03,"35,1",.,"37,6","43,8","29,0"
10,04,"32,4","11,4","38,4","37,9","25,3"
10,05,"31,9","11,8","35,2","38,0","24,4"
10,06,"33,6","10,7","36,8","42,8","26,3"
10,07,"41,8","10,7","45,5","52,4","32,1"
10,08,"36,3","11,0","45,9","47,8","22,6"
10,09,"42,3","8,8","50,2","57,6","29,2"
10,10,.,.,.,.,.
10,11,.,.,.,.,.
11,Totaal,"31,1","13,2","38,3","37,3","23,2"
11,01,"29,7","11,4","35,2","35,3","20,6"
11,02,"45,8","13,9","52,4","60,2","33,6"
11,03,"46,6",.,"49,8",.,.
11,04,"32,1",.,"39,6","36,5","21,6"
11,05,"25,8",.,.,.,.
11,06,"27,2","15,0","33,8","33,8","21,1"
11,07,"26,7","11,9","32,1","32,5","21,6"
11,08,"30,1",.,.,.,.
11,09,.,.,.,.,.
11,10,.,.,.,.,.
11,11,"34,7",.,.,.,.
12,Totaal,"45,1","8,3","53,6","59,8","32,9"
12,01,"40,9","8,6","49,7","55,4","31,0"
12,02,.,.,.,.,.
12,03,.,.,.,.,.
12,04,"52,0","6,7","59,3","67,6","35,9"
12,05,"40,9",.,.,.,.
12,06,.,.,.,.,.
13,Totaal,"34,4","14,4","40,8","44,8","24,2"
13,01,"33,2","13,9","38,9","43,6","23,5"
13,02,.,.,.,.,.
13,03,"35,9",.,.,.,.
13,04,"38,9",.,.,"52,3",.
13,99,"44,8",.,.,.,.
14,Totaal,"32,2","14,7","43,1","40,0","21,5"
14,01,"32,7","14,7","42,4","42,5","21,8"
14,02,"29,3",.,.,"33,0","22,2"
14,99,"33,5","13,9","49,5","41,9","20,5"
